datetime,home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round
2012-05-19T18:30:00Z,Palmeiras,SP,Portuguesa,SP,1,1,2012,1
2012-05-19T18:30:00Z,Sport,PE,Flamengo,RJ,1,1,2012,1
2012-05-19T21:00:00Z,Figueirense,SC,Nautico,PE,2,1,2012,1
2012-05-20T16:00:00Z,Ponte Preta,SP,Atletico Mineiro,MG,0,1,2012,1
2012-05-20T16:00:00Z,Corinthians,SP,Fluminense,RJ,0,1,2012,1
2012-05-20T16:00:00Z,Botafogo,RJ,Sao Paulo,SP,4,2,2012,1
2012-05-20T16:00:00Z,Internacional,RS,Coritiba,PR,2,0,2012,1
2012-05-20T18:30:00Z,Vasco da Gama,RJ,Gremio,RS,2,1,2012,1
2012-05-20T18:30:00Z,Bahia,BA,Santos,SP,0,0,2012,1
2012-05-20T18:30:00Z,Cruzeiro,MG,Atletico Goianiense,GO,0,0,2012,1
2012-05-26T18:30:00Z,Atletico Goianiense,GO,Ponte Preta,SP,1,1,2012,2
2012-05-26T18:30:00Z,Flamengo,RJ,Internacional,RS,3,3,2012,2
2012-05-26T18:30:00Z,Portuguesa,SP,Vasco da Gama,RJ,0,1,2012,2
2012-05-26T21:00:00Z,Nautico,PE,Cruzeiro,MG,0,0,2012,2
2012-05-27T16:00:00Z,Santos,SP,Sport,PE,0,0,2012,2
2012-05-27T16:00:00Z,Atletico Mineiro,MG,Corinthians,SP,1,0,2012,2
2012-05-27T16:00:00Z,Coritiba,PR,Botafogo,RJ,2,3,2012,2
2012-05-27T16:00:00Z,Sao Paulo,SP,Bahia,BA,1,0,2012,2
2012-05-27T18:30:00Z,Gremio,RS,Palmeiras,SP,1,0,2012,2
2012-05-27T18:30:00Z,Fluminense,RJ,Figueirense,SC,2,2,2012,2
2012-06-06T19:30:00Z,Atletico Goianiense,GO,Gremio,RS,0,1,2012,3
2012-06-06T19:30:00Z,Sport,PE,Palmeiras,SP,2,1,2012,3
2012-06-06T20:30:00Z,Vasco da Gama,RJ,Nautico,PE,4,2,2012,3
2012-06-06T20:30:00Z,Atletico Mineiro,MG,Bahia,BA,1,1,2012,3
2012-06-06T20:30:00Z,Coritiba,PR,Portuguesa,SP,2,0,2012,3
2012-06-06T21:50:00Z,Ponte Preta,SP,Flamengo,RJ,2,2,2012,3
2012-06-06T21:50:00Z,Internacional,RS,Sao Paulo,SP,1,0,2012,3
