YEAR,RANKING,TEAM,POINTS,WIN,DRAW,LOSE,GOAL-BALANCE,GOALS-PRO,GOALS-AGAINST,MATCHES,PERFORMANCE-SCORE,STATE
2012,1,Fluminense,77,22,11,5,28,61,33,38,67.50,RJ
2012,2,Atletico Mineiro,72,20,12,6,27,64,37,38,63.20,MG
2012,3,Gremio,71,20,11,7,23,56,33,38,62.30,RS
2012,4,Sao Paulo,66,20,6,12,22,59,37,38,57.90,SP
2012,5,Vasco da Gama,58,16,10,12,1,45,44,38,50.90,RJ
2012,6,Corinthians,57,15,12,11,12,51,39,38,50.00,SP
2012,7,Botafogo,55,15,10,13,10,60,50,38,48.20,RJ
2012,8,Santos,53,13,14,11,6,50,44,38,46.50,SP
2012,9,Cruzeiro,52,15,7,16,-4,47,51,38,45.60,MG
2012,10,Internacional,52,13,13,12,4,44,40,38,45.60,RS
2012,11,Flamengo,50,12,14,12,-7,39,46,38,43.90,RJ
2012,12,Nautico,49,14,7,17,-7,44,51,38,43.00,PE
2012,13,Coritiba,48,14,6,18,-7,53,60,38,42.10,PR
2012,14,Ponte Preta,48,12,12,14,-7,37,44,38,42.10,SP
2012,15,Bahia,47,11,14,13,-4,37,41,38,41.20,BA
2012,16,Portuguesa,45,10,15,13,-2,39,41,38,39.50,SP
2012,17,Sport,41,10,11,17,-17,39,56,38,36.00,PE
2012,18,Palmeiras,34,9,7,22,-15,39,54,38,29.80,SP
2012,19,Atletico Goianiense,30,7,9,22,-30,37,67,38,26.30,GO
2012,20,Figueirense,30,7,9,22,-33,39,72,38,26.30,SC
2013,1,Cruzeiro,76,23,7,8,40,77,37,38,66.70,MG
2013,2,Gremio,65,18,11,9,7,42,35,38,57.00,RS
2013,3,Athletico Paranaense,64,18,10,10,16,65,49,38,56.10,PR
2013,4,Botafogo,61,17,10,11,14,55,41,38,53.50,RJ
2013,5,Vitoria,59,16,11,11,6,59,53,38,51.80,BA
2013,6,Goias,59,16,11,11,4,48,44,38,51.80,GO
2013,7,Santos,57,15,12,11,13,51,38,38,50.00,SP
2013,8,Atletico Mineiro,57,15,12,11,11,49,38,38,50.00,MG
2013,9,Sao Paulo,50,14,8,16,-1,39,40,38,43.90,SP
2013,10,Corinthians,50,11,17,10,5,27,22,38,43.90,SP
2013,11,Coritiba,48,12,12,14,-3,42,45,38,42.10,PR
2013,12,Bahia,48,12,12,14,-8,37,45,38,42.10,BA
2013,13,Internacional,48,11,15,12,-1,51,52,38,42.10,RS
2013,14,Criciuma,46,13,7,18,-14,49,63,38,40.40,SC
2013,15,Fluminense,46,12,10,16,-4,43,47,38,40.40,RJ
2013,16,Flamengo,45,12,13,13,-3,43,46,38,39.50,RJ
2013,17,Portuguesa,44,12,12,14,4,50,46,38,38.60,SP
2013,18,Vasco da Gama,44,11,11,16,-11,50,61,38,38.60,RJ
2013,19,Ponte Preta,37,9,10,19,-18,37,55,38,32.50,SP
2013,20,Nautico,20,5,5,28,-57,22,79,38,17.50,PE
2014,1,Cruzeiro,80,24,8,6,29,67,38,38,70.20,MG
2014,2,Sao Paulo,70,20,10,8,19,59,40,38,61.40,SP
2014,3,Internacional,69,21,6,11,12,53,41,38,60.50,RS
2014,4,Corinthians,69,19,12,7,18,49,31,38,60.50,SP
2014,5,Atletico Mineiro,62,17,11,10,13,51,38,38,54.40,MG
2014,6,Fluminense,61,17,10,11,19,61,42,38,53.50,RJ
2014,7,Gremio,61,17,10,11,12,36,24,38,53.50,RS
2014,8,Athletico Paranaense,54,15,9,14,1,43,42,38,47.40,PR
2014,9,Santos,53,15,8,15,7,42,35,38,46.50,SP
2014,10,Flamengo,52,14,10,14,-1,46,47,38,45.60,RJ
2014,11,Sport,52,14,10,14,-10,36,46,38,45.60,PE
2014,12,Goias,47,13,8,17,-2,38,40,38,41.20,GO
2014,13,Figueirense,47,13,8,17,-10,37,47,38,41.20,SC
2014,14,Coritiba,47,12,11,15,-3,42,45,38,41.20,PR
2014,15,Chapecoense,43,11,10,17,-5,39,44,38,37.70,SC
2014,16,Palmeiras,40,11,7,20,-25,34,59,38,35.10,SP
2014,17,Vitoria,38,10,8,20,-17,37,54,38,33.30,BA
2014,18,Bahia,37,9,10,19,-12,31,43,38,32.50,BA
2014,19,Botafogo,34,9,7,22,-17,31,48,38,29.80,RJ
2014,20,Criciuma,32,7,11,20,-28,28,56,38,28.10,SC
2015,1,Corinthians,81,24,9,5,40,71,31,38,71.10,SP
2015,2,Atletico Mineiro,69,21,6,11,18,65,47,38,60.50,MG
2015,3,Gremio,68,20,8,10,20,52,32,38,59.60,RS
2015,4,Sao Paulo,62,18,8,12,6,53,47,38,54.40,SP
2015,5,Internacional,60,17,9,12,1,39,38,38,52.60,RS
2015,6,Sport,59,15,14,9,15,53,38,38,51.80,PE
2015,7,Santos,58,16,10,12,18,59,41,38,50.90,SP
2015,8,Cruzeiro,55,15,10,13,9,44,35,38,48.20,MG
2015,9,Palmeiras,53,15,8,15,9,60,51,38,46.50,SP
2015,10,Athletico Paranaense,51,14,9,15,-5,43,48,38,44.70,PR
2015,11,Ponte Preta,51,13,12,13,1,41,40,38,44.70,SP
2015,12,Flamengo,49,15,4,19,-8,45,53,38,43.00,RJ
2015,13,Fluminense,47,14,5,19,-9,40,49,38,41.20,RJ
2015,14,Chapecoense,47,12,11,15,-10,34,44,38,41.20,SC
2015,15,Coritiba,44,11,11,16,-11,31,42,38,38.60,PR
2015,16,Figueirense,43,11,10,17,-14,36,50,38,37.70,SC
2015,17,Avai,42,11,9,18,-22,38,60,38,36.80,SC
2015,18,Vasco da Gama,41,10,11,17,-26,28,54,38,36.00,RJ
2015,19,Goias,38,10,8,20,-10,39,49,38,33.30,GO
2015,20,Joinville,31,7,10,21,-22,26,48,38,27.20,SC
2016,1,Palmeiras,80,24,8,6,30,62,32,38,70.20,SP
2016,2,Santos,71,22,5,11,24,59,35,38,62.30,SP
2016,3,Flamengo,71,20,11,7,17,52,35,38,62.30,RJ
2016,4,Atletico Mineiro,62,17,11,9,11,61,50,37,55.90,MG
2016,5,Botafogo,59,17,8,13,4,43,39,38,51.80,RJ
2016,6,Athletico Paranaense,57,17,6,15,6,38,32,38,50.00,PR
2016,7,Corinthians,55,15,10,13,6,48,42,38,48.20,SP
2016,8,Ponte Preta,53,15,8,15,-4,48,52,38,46.50,SP
2016,9,Gremio,53,14,11,13,-3,41,44,38,46.50,RS
