team,acronym,full_name,founded,stadium,city,state,region
America,AMG,America Futebol Clube,1912,Arena Independencia,Belo Horizonte,Minas Gerais,Southeast
Athletico Paranaense,CAP,Club Athletico Paranaense,1924,Arena da Baixada,Curitiba,Parana,South
Atletico Goianiense,ACG,Atletico Clube Goianiense,1937,Estadio Antonio Accioly,Goiania,Goias,Central
Atletico Mineiro,CAM,Clube Atletico Mineiro,1908,Arena MRV,Belo Horizonte,Minas Gerais,Southeast
Avai,AVA,Avai Esporte Clube,1923,A Ressacada,Florianopolis,Santa Catarina,South
Bahia,ECB,Esporte Clube Bahia,1931,Arena Fonte Nova,Salvador,Bahia,Northeast
Botafogo,BOT,Botafogo de Futebol e Regatas,1904,Engenhao,Botafogo,Rio de Janeiro,Southeast
Ceara,CEA,Ceara Sporting Club,1914,Arena Castelao,Fortaleza,Ceara,Northeast
Chapecoense,CHA,Associacao Chapecoense de Futebol,1973,Arena Conda,Chapeco,Santa Catarina,South
Corinthians,COR,Sport Club Corinthians Paulista,1910,Neo Quimica Arena,Sao Paulo,Sao Paulo,Southeast
Coritiba,CFC,Coritiba Foot Ball Club,1909,Major Antonio Couto Pereira,Curitiba,Parana,South
Criciuma,CRI,Criciuma Esporte Clube,1947,Majestoso,Criciuma,Santa Catarina,South
Cruzeiro,CRU,Cruzeiro Esporte Clube,1942,Mineirao,Belo Horizonte,Minas Gerais,Southeast
CSA,CSA,Centro Sportivo Alagoano,1913,Estadio Rei Pele,Maceio,Alagoas,Northeast
Cuiaba,CUI,Cuiaba Esporte Clube,2001,Arena Pantanal,Cuiaba,Mato Grosso,Central
Figueirense,FIG,Figueirense Futebol Clube,1921,Estadio Orlando Scarpelli,Florianopolis,Santa Catarina,South
Flamengo,FLA,Clube de Regatas do Flamengo,1895,Maracana,Rio de Janeiro,Rio de Janeiro,Southeast
Fluminense,FLU,Fluminense Football Club,1902,Laranjeiras,Rio de Janeiro,Rio de Janeiro,Southeast
Fortaleza,FOR,Fortaleza Esporte Clube,1918,Castelao,Fortaleza,Ceara,Northeast
Goias,GOI,Goias Esporte Clube,1943,Estadio Serra Dourada,Goiania,Goias,Central
Gremio,GRE,Gremio Foot-Ball Porto Alegrense,1903,Arena do Gremio,Porto Alegre,Rio Grande do Sul,South
Internacional,INT,Sport Club Internacional,1909,Beira Rio,Porto Alegre,Rio Grande do Sul,South
Joinville,JOI,Joinville Esporte Clube,1976,Arena Joinville,Joinville,Santa Catarina,South
Juventude,JUV,Esporte Clube Juventude,1913,Alfredo Jaconi,Caxias do Sul,Rio Grande do Sul,South
Mirassol,MIR,Mirassol Futebol Clube,1925,Jose Maria dos Santos Maia,Mirassol,Sao Paulo,Southeast
Nautico,NAU,Clube Nautico Capibaribe,1901,Aflitos,Recife,Pernambuco,Northeast
Palmeiras,PAL,Sociedade Esportiva Palmeiras,1914,Allianz Parque,Sao Paulo,Sao Paulo,Southeast
Parana,PAR,Parana Clube,1989,Vila Capanema,Curitiba,Parana,South
Ponte Preta,PON,Associacao Atletica Ponte Preta,1900,Moises Lucarelli,Campinas,Sao Paulo,Southeast
Portuguesa,POR,Associacao Portuguesa de Desportos,1920,Estadio do Caninde,Sao Paulo,Sao Paulo,Southeast
Red Bull Bragantino,RBB,Red Bull Bragantino,1928,Nabi Abi Chedid,Braganca Paulista,Sao Paulo,Southeast
Santa Cruz,SCR,Santa Cruz Futebol Clube,1914,Arruda,Recife,Pernambuco,Northeast
Santos,SAN,Santos Futebol Clube,1912,Vila Belmiro,Santos,Sao Paulo,Southeast
Sao Paulo,SAO,Sao Paulo Futebol Clube,1930,Estadio do Morumbi,Sao Paulo,Sao Paulo,Southeast
Sport,SPO,Sport Club do Recife,1905,Ilha do Retiro,Recife,Pernambuco,Northeast
Vasco da Gama,VAS,Club de Regatas Vasco da Gama,1898,Sao Januario,Rio de Janeiro,Rio de Janeiro,Southeast
Vitoria,VIT,Esporte Clube Vitoria,1899,Barradao,Salvador,Bahia,Northeast
